Start date, Duration, Assigned task, Task state 
,,,
Sep 5  2017 at 8:49:26 PM,25,Parachute book,Done 
Sep 6  2017 at 2:25:52 PM,25,STAR,Done 
Sep 6  2017 at 3:05:30 PM,25,STAR,Done 
Sep 6  2017 at 3:38:43 PM,25,STAR,Done 
Sep 6  2017 at 4:22:58 PM,25,STAR,Done 
Sep 6  2017 at 5:32:09 PM,25,STAR,Done 
Sep 6  2017 at 6:20:47 PM,25,STAR,Done 
Sep 7  2017 at 3:06:51 PM,25,Marketing Sheet,Done 
Sep 7  2017 at 3:55:49 PM,25,Marketing Sheet,Done 
Sep 13  2017 at 3:28:23 PM,25,Look at IYI resources,Done 
Sep 13  2017 at 4:16:30 PM,25,Look at IYI resources,Done 
Sep 13  2017 at 9:51:17 PM,25,Work on reference doc,Done 
Sep 14  2017 at 3:10:16 PM,25,Prepare presentation,Done 
Sep 14  2017 at 3:41:00 PM,25,Prepare presentation,Done 
Sep 14  2017 at 4:08:44 PM,25,Prepare presentation,Done 
Sep 14  2017 at 4:49:10 PM,25,Prepare presentation,Done 
Sep 14  2017 at 5:25:59 PM,25,Prepare presentation,Done 
Sep 14  2017 at 5:52:08 PM,25,Prepare presentation,Done 
Sep 14  2017 at 6:23:57 PM,25,Prepare presentation,Done 
Sep 14  2017 at 7:02:46 PM,25,Prepare presentation,Done 
Sep 14  2017 at 7:51:34 PM,25,Prepare presentation,Done 
Sep 19  2017 at 2:18:02 PM,25,Catch up with emails,Done 
Sep 19  2017 at 2:54:17 PM,25,Catch up with emails,Done 
Sep 19  2017 at 3:30:21 PM,25,Write recommendation LI,Done 
Sep 20  2017 at 11:17:03 AM,25,Write recommendation LI,Done 
Sep 20  2017 at 11:58:40 AM,25,Write recommendation LI,Done 
Sep 20  2017 at 2:15:56 PM,25,Write recommendation LI,Done 
Sep 20  2017 at 2:50:24 PM,25,Organize informational interview notes,Done 
Sep 20  2017 at 3:23:16 PM,25,30 60 90 day plan,Done 
Sep 20  2017 at 4:23:16 PM,25,30 60 90 day plan,Done 
Sep 20  2017 at 5:03:00 PM,25,Investigate PHHC,Done 
Sep 24  2017 at 5:46:09 PM,25,PC,Done 
Sep 24  2017 at 6:42:02 PM,25,Check out companies,Done 
Sep 25  2017 at 3:49:57 PM,25,Check out companies,Done 
Sep 25  2017 at 4:22:15 PM,25,Check out companies,Done 
Sep 25  2017 at 4:57:59 PM,25,Check out companies,Done 
Sep 25  2017 at 5:27:11 PM,25,Check out companies,Done 
Sep 25  2017 at 5:55:47 PM,25,Check out companies,Done 
Sep 26  2017 at 3:30:15 PM,25,Networking Diagram,Done 
Sep 26  2017 at 4:09:12 PM,25,Review ICT4D Guide,Done 
Sep 26  2017 at 4:51:42 PM,25,Connect with tech companies,Done 
Sep 26  2017 at 10:00:45 PM,25,Networking Diagram,Done 
Sep 27  2017 at 9:30:56 AM,25,Marketing Sheet,Done 
Sep 27  2017 at 10:01:12 AM,25,Connect with tech companies,Done 
Sep 27  2017 at 6:52:00 PM,25,Marketing Sheet,Done 
Sep 30  2017 at 10:29:02 AM,25,Break into tech find your fit,Done 
Sep 30  2017 at 11:04:12 AM,25,Break into tech land your first tech job,Done 
Sep 30  2017 at 11:41:54 AM,25,Break into tech find your fit,Done 
Sep 30  2017 at 3:17:08 PM,25,Break into tech find your fit,Done 
Sep 30  2017 at 3:54:08 PM,25,Review ICT4D Guide,Done 
Sep 30  2017 at 4:33:27 PM,25,Break into tech find your fit,Done 
Sep 30  2017 at 5:03:52 PM,25,Read Product Leadership,Done 
Sep 30  2017 at 5:31:19 PM,25,Read Sprint,Done 
Sep 30  2017 at 6:09:22 PM,25,Bullet journal,Done 
Oct 1  2017 at 10:57:37 AM,25,Checkout Google Analytics,Done 
Oct 1  2017 at 11:37:44 AM,25,Checkout Salesforce Nonprofit Management,Done 
Oct 1  2017 at 3:26:52 PM,25,Look at tech resume,Done 
Oct 2  2017 at 3:39:40 PM,25,Bullet journal,Done 
Oct 4  2017 at 1:43:42 PM,25,Read Product Leadership,Done 
Oct 11  2017 at 9:20:47 AM,25,Apply for IN Donor Network,Done 
Oct 11  2017 at 10:25:47 AM,25,Apply for Project Ready Site Coordinator,Done 
Oct 11  2017 at 2:44:24 PM,25,Checkout Google Analytics,Done 
Oct 11  2017 at 3:20:38 PM,25,Checkout Salesforce Nonprofit Management,Done 
Oct 11  2017 at 4:10:20 PM,25,Break into tech find your fit,Done 
Oct 11  2017 at 4:51:21 PM,25,Break into tech find your fit,Done 
Oct 11  2017 at 5:28:21 PM,25,Checkout Salesforce Nonprofit Management,Done 
Oct 12  2017 at 3:38:37 PM,25,Break into tech find your fit,Done 
Oct 12  2017 at 4:19:21 PM,25,Break into tech find your fit,Done 
Oct 12  2017 at 4:49:18 PM,25,Checkout Salesforce Nonprofit Management,Done 
Oct 12  2017 at 5:18:04 PM,25,VIPKID,Done 
Oct 13  2017 at 3:06:08 PM,25,Bullet journal,Done 
Oct 13  2017 at 3:37:52 PM,25,Email Salesforce,Done 
Oct 13  2017 at 4:38:03 PM,25,Condense Informational Interview Notes,Done 
Oct 13  2017 at 5:16:40 PM,25,Condense Informational Interview Notes,Done 
Oct 13  2017 at 5:51:33 PM,25,Organize Portfolio,Done 
Oct 14  2017 at 3:49:48 PM,25,Organize Portfolio,Done 
Oct 14  2017 at 4:20:13 PM,25,Bullet journal,Done 
Oct 14  2017 at 4:54:53 PM,25,Break into tech find your fit,Done 
Oct 14  2017 at 5:29:01 PM,25,Break into tech find your fit,Done 
Oct 14  2017 at 6:18:03 PM,25,Break into tech find your fit,Done 
Oct 14  2017 at 8:28:14 PM,25,Break into tech find your fit,Done 
Oct 14  2017 at 9:04:12 PM,25,Break into tech find your fit,Done 
Oct 15  2017 at 8:39:37 AM,25,Bullet journal,Done 
Oct 15  2017 at 9:25:17 AM,25,Organize Portfolio,Done 
Oct 15  2017 at 10:08:49 AM,25,Organize Portfolio,Done 
Oct 15  2017 at 10:45:01 AM,25,Organize Portfolio,Done 
Oct 15  2017 at 11:34:06 AM,25,Organize Portfolio,Done 
Oct 15  2017 at 5:22:30 PM,25,Organize Portfolio,Done 
Oct 15  2017 at 6:32:04 PM,25,Organize Portfolio,Done 
Oct 15  2017 at 7:35:01 PM,25,Break Into Tech,Done 
Oct 15  2017 at 8:30:25 PM,25,Break Into Tech,Done 
Oct 15  2017 at 9:15:31 PM,25,Break Into Tech,Done 
Oct 15  2017 at 10:02:30 PM,25,Break Into Tech,Done 
Oct 15  2017 at 10:38:08 PM,25,Break Into Tech,Done 
Oct 15  2017 at 11:08:24 PM,25,Break Into Tech,Done 
Oct 15  2017 at 11:37:32 PM,25,Break Into Tech,Done 
Oct 16  2017 at 8:06:32 AM,25,Indiana Donor Network Research,Done 
Oct 16  2017 at 8:42:55 AM,25,Indiana Donor Network Research,Done 
Oct 16  2017 at 9:11:21 AM,25,Indiana Donor Network Research,Done 
Oct 16  2017 at 10:25:53 AM,25,Project Manager networking,Done 
Oct 16  2017 at 3:39:26 PM,25,Investigate Edusource,Done 
Oct 16  2017 at 4:10:35 PM,25,Investigate people Edusource,Done 
Oct 17  2017 at 11:35:24 AM,25,Review ICT4D Guide,Done 
Oct 17  2017 at 3:42:26 PM,25,Read Product Leadership,Done 
Oct 17  2017 at 7:18:50 PM,25,Read Product Leadership,Done 
Oct 18  2017 at 3:53:16 PM,25,Investigate OurHealth,Done 
Oct 18  2017 at 4:26:07 PM,25,Investigate OurHealth,Done 
Oct 18  2017 at 5:07:24 PM,25,Read Product Leadership,Done 
Oct 18  2017 at 6:07:16 PM,25,Read Product Leadership,Done 
Oct 18  2017 at 8:47:22 PM,25,Prep stories,Done 
Oct 22  2017 at 3:51:02 PM,25,Bullet journal,Done 
Oct 22  2017 at 4:22:42 PM,25,Prep PC Interview,Done 
Oct 22  2017 at 5:03:44 PM,25,Prep Meeting with Monty,Done 
Oct 23  2017 at 4:48:43 PM,25,Prep IYI Interview,Done 
Oct 23  2017 at 5:19:50 PM,25,Prep Q & A Informational Interview,Done 
Oct 23  2017 at 6:05:09 PM,25,Prep IYI Interview,Done 
Nov 5  2017 at 10:15:16 AM,25,Bullet journal,Done 
Nov 5  2017 at 10:50:06 AM,25,Bullet journal,Done 
Nov 5  2017 at 11:15:28 AM,25,Writing Down Book,Done 
Nov 5  2017 at 1:24:53 PM,25,Organize Bills,Done 
Nov 5  2017 at 1:57:27 PM,25,Organize Bills,Done 
Nov 5  2017 at 2:28:03 PM,25,Organize Bills,Done 
Nov 5  2017 at 3:03:25 PM,25,Create Budget,Done 
Nov 5  2017 at 3:34:04 PM,25,Create Budget,Done 
Nov 5  2017 at 4:22:45 PM,25,Create Budget,Done 
Nov 5  2017 at 5:10:48 PM,25,Vacuum,Done 
Nov 5  2017 at 5:46:37 PM,25,Clean bathroom,Done 
Nov 5  2017 at 6:14:09 PM,25,Clean Kitchen,Done 
Nov 5  2017 at 6:46:23 PM,25,Clean Kitchen,Done 
Nov 7  2017 at 7:20:29 AM,25,Edit Resources IYI,Done 
Nov 7  2017 at 7:59:00 AM,25,Edit Resources IYI,Done 
Nov 7  2017 at 8:24:23 AM,25,Work on Data IYI,Done 
Nov 7  2017 at 8:56:07 AM,25,Work on Data IYI,Done 
